league,player,team,season,pos,age,minutes,nineties,goals_per90,assists_per90,ga_per90,shots_per90,sot_per90,g_per_sh,crosses_per90,fouls_drawn_per90,fouls_committed_per90,offsides_per90,season_end_year,us_position,us_minutes,npxg,xg,xa,np_goals,goals_us,key_passes,shots_us,xg_chain,xg_buildup,npxg_per90,xa_per90,npxg_xa_per90,key_passes_per90,key_passes_per100,goals_minus_npxg,goals_minus_npxg_per90,npxg_per_shot,in_bundesliga,crosses_per90_z,fouls_drawn_per90_z,sot_per90_z,npxg_xa_per90_z,winger_score,likely_winger,side_review,sofifa_player_id,fc_overall,fc_potential,fc_age,fc_value_eur,fc_pos,fifa_edition,sofifa_update,sofifa_version_id
FRA-Ligue 1,Breel Embolo,Rennes,2526,FW,28,1872,20.8,0.43,0.14,0.58,1.97,0.87,0.22,0.3365384615384615,2.7884615384615383,2.3076923076923075,0.673076923076923,2026,,,,,,,,,,,,,,,,,,,,False,-0.9002488955543554,2.158258887572026,-0.0267933267762056,,0.4104055550804883,True,,205431.0,80.0,80.0,30.0,20500000.0,ST,FC 24,"Aug 11, 2023",240001.0
GER-Bundesliga,Arijon Ibrahimović,Heidenheim,2526,"MF,FW",19,2169,24.1,0.04,0.17,0.21,1.95,0.79,0.02,5.269709543568465,1.120331950207469,0.5394190871369294,0.2074688796680497,2026,,,,,,,,,,,,,,,,,,,,True,1.834122782828138,-0.3906948096342776,-0.2127998858482598,,0.4102093624485334,True,,266236.0,61.0,77.0,19.0,850000.0,LM,FC 26,"Aug 7, 2025",260001.0
GER-Bundesliga,Kingsley Coman,Bayern Munich,2324,MF,27,1113,12.4,0.24,0.24,0.49,2.75,0.65,0.09,4.838709677419355,1.532258064516129,0.4838709677419354,0.0806451612903225,2024,M S,1156.0,3.008565280586481,3.008565280586481,3.5862997490912676,3.0,3.0,29.0,34.0,11.753271628171206,7.292826905846596,0.2342308609453142,0.2792101880780399,0.5134410490233541,2.2577854671280275,2.508650519031142,-0.008565280586481,-0.0006668471044838,0.0884872141348965,True,1.5952269878540437,0.238741056401668,-0.5383113642243549,0.3370969779566994,0.408188414497014,True,,213345.0,85.0,85.0,27.0,57500000.0,LM,FC 24,"Aug 11, 2023",240001.0
GER-Bundesliga,Andrej Kramarić,Hoffenheim,1920,"FW,MF",28,1422,15.8,0.63,0.13,0.76,2.72,1.58,0.23,1.7088607594936709,1.2025316455696202,0.3797468354430379,0.4430379746835443,2020,,,,,,,,,,,,,,,,,,,,True,-0.139594305890829,-0.265091128194946,1.6240148849882765,,0.4064431503008337,True,,216354.0,83.0,83.0,28.0,27000000.0,ST,FIFA 20,"Aug 20, 2019",200001.0
ITA-Serie A,Christian Pulisic,Milan,2425,"MF,FW",25,2478,27.5,0.29,0.33,0.62,2.07,0.87,0.14,4.290909090909091,1.3454545454545457,0.7272727272727273,0.109090909090909,2025,,,,,,,,,,,,,,,,,,,,False,1.2915905673351342,-0.046700508759665,-0.0267933267762056,,0.4060322439330878,True,,,,,,,,,,
ENG-Premier League,Nicolas Jackson,Chelsea,2324,FW,22,2799,31.1,0.45,0.16,0.61,2.57,1.32,0.18,0.1929260450160771,1.2861736334405145,0.932475884244373,0.9003215434083601,2024,F M S,2818.0,19.860593939200044,19.860593939200044,5.2836981769651175,14.0,14.0,36.0,80.0,27.91725537180901,7.270463835448027,0.634298599903479,0.1687483448995247,0.8030469448030038,1.1497515968772178,1.27750177430802,-5.860593939200044,-0.187172978895672,0.2482574242400005,False,-0.9798507820231468,-0.1372835791133763,1.0194935680040995,1.7141507390973434,0.40412748649123,True,,,,,,,,,,
GER-Bundesliga,Marco Richter,Hertha BSC,2223,"MF,FW",24,1836,20.4,0.29,0.25,0.54,2.45,0.74,0.12,4.068627450980393,1.6176470588235294,1.7647058823529411,0.2450980392156863,2023,,,,,,,,,,,,,,,,,,,,True,1.1683836866616717,0.3692180854485422,-0.3290539852682939,,0.4028492622806399,True,,238068.0,74.0,77.0,24.0,6000000.0,RM,FIFA 23,"Sep 1, 2022",230001.0
GER-Bundesliga,Marcel Sabitzer,RB Leipzig,1920,"MF,FW",25,2499,27.8,0.32,0.25,0.58,2.52,0.86,0.13,3.956834532374101,1.474820143884892,0.7194244604316546,0.1079136690647482,2020,,,,,,,,,,,,,,,,,,,,True,1.106418799290489,0.1509741339852455,-0.0500441466602124,,0.4024495955385074,True,,204923.0,81.0,84.0,25.0,22500000.0,CAM,FIFA 20,"Aug 20, 2019",200001.0
GER-Bundesliga,Admir Mehmedi,Wolfsburg,1819,"FW,MF",27,1692,18.8,0.32,0.27,0.59,1.91,0.69,0.17,4.042553191489362,2.021276595744681,1.5425531914893615,0.9574468085106382,2019,F M S,1708.0,4.000787291675806,4.000787291675806,4.055429188534617,6.0,6.0,34.0,36.0,10.254316424950956,5.427408087998629,0.2108143186480225,0.2136935755082643,0.4245078941562869,1.791569086651054,1.9906323185011712,1.999212708324194,0.1053449319374575,0.1111329803243279,True,1.1539311741699028,0.9859765241701136,-0.4453080846883279,-0.0857733336787302,0.4022065699932395,True,,188770.0,75.0,75.0,27.0,7000000.0,RM,FIFA 19,"Aug 21, 2018",190002.0
GER-Bundesliga,Luca Waldschmidt,Köln,2324,MF,27,1146,12.7,0.24,0.0,0.24,3.38,1.26,0.07,3.070866141732284,1.1811023622047243,1.5748031496062993,0.3937007874015748,2024,,,,,,,,,,,,,,,,,,,,True,0.615341795264062,-0.2978357371546146,0.879988648700059,,0.3991649022698354,True,,220085.0,74.0,75.0,27.0,4900000.0,CF,FC 24,"Aug 11, 2023",240001.0
ENG-Premier League,Nathan Tella,Southampton,2021,"FW,MF",21,745,8.3,0.12,0.12,0.24,2.05,0.97,0.06,0.8433734939759036,2.8915662650602405,1.9277108433734935,0.6024096385542168,2021,F M S,734.0,1.9882364720106125,1.9882364720106125,1.090901680290699,1.0,1.0,6.0,17.0,2.907419417053461,0.4839693028479814,0.2437892131893121,0.1337617864116661,0.3775509996009782,0.7356948228882835,0.8174386920980926,-0.9882364720106124,-0.1211734093745982,0.1169550865888595,False,-0.619318975374347,2.3158061044751648,0.2057148720638621,-0.3090497558827569,0.3982880613204808,True,,237328.0,61.0,74.0,20.0,800000.0,RW,FIFA 21,"Aug 24, 2020",210001.0
GER-Bundesliga,Michael Gregoritsch,Freiburg,2324,FW,29,1682,18.7,0.37,0.21,0.59,3.85,1.66,0.1,0.5882352941176471,1.0160427807486632,0.9090909090909092,0.320855614973262,2024,F M S,1681.0,11.299522154033184,11.299522154033184,1.2629597373306751,7.0,7.0,14.0,72.0,11.064708192832768,2.9364843908697367,0.6049714419173031,0.0676183083639267,0.6725897502812298,0.7495538370017847,0.8328375966686495,-4.299522154033184,-0.2301945234164108,0.1569378076949053,True,-0.7607376807395841,-0.5500518919271612,1.8100214440603304,1.0938368124749662,0.3982671709671377,True,,199439.0,79.0,79.0,29.0,17500000.0,ST,FC 24,"Aug 11, 2023",240001.0
